code,name,sector,price,score,per,pbr,roe,dividend_yield,debt_to_equity,reform_candidate,reason
543A,ARCHION CORP.,Automobiles & Auto parts,276.0,81.2,1.897168,0.80649406,0.50815,0.028999999999999998,40.679,False,PER1.9倍・PBR0.81倍の超割安、高ROE50.8%、配当利回り2.9%、負債少なく財務健全、増益基調
5714,"DOWA HOLDINGS CO., LTD.",Nonferrous Metals,9476.0,81.2,9.025278,1.2171271,0.18461001,0.035699999999999996,24.034,False,PER9.0倍・PBR1.22倍の超割安、高ROE18.5%、配当利回り3.6%・高配当、負債少なく財務健全、増益基調
1928,"SEKISUI HOUSE, LTD.",Construction,3444.0,73.9,8.68053,1.0337416,0.12644,0.0424,84.768,False,PER8.7倍・PBR1.03倍の超割安、高ROE12.6%、配当利回り4.2%・高配当、増益基調
8750,"DAIICHI LIFE GROUP, INC.",Insurance,1874.0,72.9,15.45567,1.4758427,0.13575,0.0384,30.147,False,PER15.5倍・PBR1.48倍、高ROE13.6%、配当利回り3.8%・高配当、負債少なく財務健全、増益基調
7202,ISUZU MOTORS LTD.,Automobiles & Auto parts,2265.5,71.5,11.737125,1.0327702,0.116009995,0.0415,60.175,False,PER11.7倍・PBR1.03倍の割安、ROE11.6%、配当利回り4.2%・高配当、増益基調
